index,c1D,c2D,tot_c2D,f1D,f2D,area,mass,n_frags,lat_min,lat_max,lon_min,lon_max,drag,heat_flux,heat_flux_CT,heat_flux_TR,heat_flux_FM,density
source_0829_133953_300_157,6.444070971971615e-06,0.0,0.0,6.0002442037188075e-06,0.0,26.394535880289972,232.82148555851904,21,-52.05397195422906,-38.81689967491294,-116.21897769744247,-111.820612673184,1.0,1.0,0.766572827290093,1.4572985620618235,0.9865203168258314,1.1475098729183382
source_0829_133953_300_158,1.4639995180021542e-05,0.0,0.0,5.465584534958268e-06,0.0,15.12956827694223,112.94368338841562,9,-53.99834498262386,-38.10350743563973,-117.0502360356609,-111.62913729831169,1.0,1.0,1.225736017238352,0.9089737811415178,0.940184342412732,0.884110472858942
source_0829_133953_300_159,3.7838893423281136e-05,0.0,0.0,2.6988038714481632e-05,0.0,17.163580639699056,114.64923443053807,12,-52.49728120439895,-37.77187906175094,-116.40324312801746,-111.53857339684849,1.0,1.0,1.2216506025355343,0.595462328033561,1.014566113063285,1.0699261248278535
source_0829_133953_300_16,3.760487548752551e-06,0.0,0.0,3.7372849154282406e-06,0.0,18.759570589384353,161.6988260294694,13,-54.85696147180215,-39.85420759978542,-117.43767339074041,-112.11175749105746,1.0,1.0,0.9687511003079847,0.8772161798238483,1.0970291023058425,0.8165360203380787
source_0829_133953_300_160,2.988376974294095e-06,0.0,0.0,2.950304987758834e-06,0.0,18.759570589384353,156.69821703461795,13,-53.81106516188701,-39.1199354097781,-116.96609053778785,-111.9062974308997,1.0,1.0,1.019381869860961,0.8431846241702294,0.9424396552371685,0.9218191293206386
source_0829_133953_300_161,4.181350198013331e-06,0.0,0.0,4.122979228915469e-06,0.0,18.759570589384353,149.59932102991428,13,-55.02461209861692,-39.622954500626726,-117.51529422934074,-112.04735835793063,1.0,1.0,1.073781798640674,0.5936498923736794,1.0409766370819162,0.801299127396925
source_0829_133953_300_162,1.645215002825549e-05,0.0,0.0,3.903363131274595e-06,0.0,15.12956827694223,108.7776708941613,9,-53.35186732120612,-37.66358039187237,-116.76682033396791,-111.51019278709954,1.0,1.0,1.234074232572565,1.0059786359444676,0.9492731026276947,0.9550770492292618
source_0829_133953_300_163,1.624557303240865e-06,0.0,0.0,1.3844662231088378e-06,0.0,26.394535880289972,258.9222991077579,21,-53.03029439553264,-40.126324934067696,-116.62748238811776,-112.18612689944462,1.0,1.0,0.7357711745977854,0.6013028783515462,1.0917960049082083,1.0135793931826562
source_0829_133953_300_164,1.1554688142122334e-05,0.0,0.0,1.148402873829557e-05,0.0,18.759570589384353,149.49119104424912,13,-53.718966278082036,-38.68722642464511,-116.92557022252299,-111.78726469777887,1.0,1.0,1.069433059821401,0.9775795406780765,0.9205514129310667,0.9320130645527215
source_0829_133953_300_165,7.859560674760956e-06,0.0,0.0,5.925526685990334e-06,0.0,17.163580639699056,122.76515007293995,12,-54.20473450708104,-38.55903730952706,-117.14201031654517,-111.75306455356899,1.0,1.0,1.2001763440362798,0.6694564374197195,0.945539481717412,0.8683393330531688
